project_id,project_name,sector,implementing_agency,state,original_cost,revised_cost,expenditure,expenditure_change_recent,physical_progress,progress_change_recent,original_duration_months,months_elapsed,current_delay_months,overdue_milestones,days_since_last_cuf_update,clearance_pending_days,active_litigation,reasons_for_delay
MOSPI_618181,Rehabilitation / Upgradation to 4 Lane with Paved shoulder of Existing Section in Sillod Town with Design Ch. Km54500 to Km 60679 [Length6.179 km] section of NH 753F Aurangabad-Jalgaon road on EPC Mode in the State of Maharashtra,Roads & Highways,MoRTH,,154.0,154.0,0.0,0.0,98.0,0.0,28.0,41.6,0.0,0,15,0,False,
MOSPI_612178,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters at Vallam Vadangal, SIPCOT, Sriperumbudur",Healthcare,Employee's State Insurance Company [ESIC],,153.0,177.01,127.22,4.0,100.0,1.0,123.8,138.9,9.6,1,15,0,False,
MOSPI_618223,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 64535 to km 85385 Design chainage km 55800 to km 74350 under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-III Job no  NH-144A-J&K-2019-20-79,Roads & Highways,MoRTH,,153.0,153.0,77.62,1.98,90.0,0.0,42.3,77.9,39.1,1,15,0,False,
MOSPI_618084,Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,Roads & Highways,MoRTH,,153.0,133.67,100.77,0.0,95.0,0.0,41.8,79.0,38.8,1,15,0,False,
MOSPI_618023,Work of Widening/upgradation of 2-Lane with paved shoulder of Sri Muktsar Sahib to Malout road from Km 279.400 to Km 307.060 section of NH-354 in the State of Punjab on EPC mode. Job No. NH-354-PB-2021-22-555,Roads & Highways,MoRTH,,153.0,153.0,0.0,0.0,100.0,0.0,36.5,53.5,11.5,1,15,0,False,
MOSPI_617804,Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT basis - Phase II,Shipping,New Mangalore Port Authority,,153.0,153.0,97.45,31.98,95.0,35.0,39.0,32.5,0.0,0,15,0,False,
MOSPI_611944,Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms,Railways,Western Railway (WR) - II,,152.0,152.44,120.36,15.78,95.0,10.0,37.9,43.4,0.0,0,15,0,False,
MOSPI_619187,"Slope protection and landslide mitigation at 4 vulnerable locations km 1.950 to Km 2.100, km 11.100 to 11.450, km 22.435 to km 22.485 and km 22.610 to km 22.680 within Sevoke-Rangpo section of NH-10 old NH-31A in Darjeeling & Kalimpong district in the State of West Bengal on EPC mode",Roads & Highways,NHIDCL,,152.0,152.0,21.2,21.2,34.0,2.0,40.6,31.3,0.0,0,15,0,False,
MOSPI_612748,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",Healthcare,Employee's State Insurance Company [ESIC],,151.0,151.0,31.05,0.0,28.0,2.0,91.5,86.0,0.0,0,15,0,False,
MOSPI_709770,City Gas Distribution Project at Pathankot District,Petroleum,Indian Oil Corporation Limited [IOCL],,151.0,151.0,9.02,0.06,2.0,0.0,138.1,53.6,0.0,0,15,0,False,
MOSPI_701766,Green Building Development Project,Real Estate,ministry of housing and urban affairs,,151.0,206.0,59.51,2.75,40.0,0.0,48.5,82.3,37.3,1,15,0,False,
